Name,year,Position
Aleksander Barkov,2018,C
Alex Chiasson,2018,RW
Alex Killorn,2018,"LW,RW"
Alexander Edler,2018,D
Andrew Shaw,2018,RW
Andy Greene,2018,D
Ben Chiarot,2018,D
Blake Coleman,2018,"LW,RW"
Blake Coleman,2018,"LW,RW"
Blake Coleman,2018,"LW,RW"
Brady Skjei,2018,D
Brady Tkachuk,2018,"C,LW"
Brady Tkachuk,2018,"C,LW"
Brandon Pirri,2018,C
Brandon Tanev,2018,"LW,RW"
Brandon Tanev,2018,"LW,RW"
Brandon Tanev,2018,"LW,RW"
Brayden McNabb,2018,D
Brayden McNabb,2018,D
Brenden Dillon,2018,D
Brent Seabrook,2018,D
Brian Dumoulin,2018,D
Brooks Orpik,2018,D
Bryan Rust,2018,RW
Bryan Rust,2018,RW
Cedric Paquette,2018,C
Chris Wagner,2018,RW
Dion Phaneuf,2018,D
Dylan Strome,2018,C
Erik Gudbranson,2018,D
Erik Gustafsson,2018,D
Erik Gustafsson,2018,D
Henri Jokiharju,2018,D
Ian Cole,2018,D
Jack Johnson,2018,D
Jamie Oleksiak,2018,D
Jason Pominville,2018,"LW,RW"
Jeff Petry,2018,D
Joel Edmundson,2018,D
Kasperi Kapanen,2018,RW
Kasperi Kapanen,2018,RW
Kasperi Kapanen,2018,RW
Kris Russell,2018,D
Kris Russell,2018,D
Lawson Crouse,2018,LW
Leo Komarov,2018,C
Marcus Foligno,2018,LW
Mark Borowiecki,2018,D
Mark Borowiecki,2018,D
Max Comtois,2018,C
Michal Kempny,2018,D
Michal Kempny,2018,D
Nate Schmidt,2018,D
Neal Pionk,2018,D
Neal Pionk,2018,D
Niklas Hjalmarsson,2018,D
Noel Acciari,2018,C
Patrik Nemeth,2018,D
Radko Gudas,2018,D
Radko Gudas,2018,D
Robert Hagg,2018,D
Robert Hagg,2018,D
Ron Hainsey,2018,D
Ryan Reaves,2018,RW
Sam Bennett,2018,C
Sam Bennett,2018,C
Scott Mayfield,2018,D
TJ Brodie,2018,D
Travis Hamonic,2018,D
William Carrier,2018,LW
Zach Aston-Reese,2018,C
Aleksander Barkov,2019,C
Alex Goligoski,2019,D
Anthony Duclair,2019,C
Barclay Goodrow,2019,C
Brendan Lemieux,2019,LW
Brendan Lemieux,2019,LW
Brian Dumoulin,2019,D
Calvin de Haan,2019,D
Carl Gunnarsson,2019,D
Connor Murphy,2019,D
Conor Garland,2019,RW
Damon Severson,2019,D
Deryk Engelland,2019,D
Deryk Engelland,2019,D
Dominik Kubalik,2019,LW
Dominik Kubalik,2019,LW
Ian Cole,2019,D
Ian Cole,2019,D
Ian Cole,2019,D
Ian Cole,2019,D
Jakob Chychrun,2019,D
Jakob Chychrun,2019,D
Jakob Chychrun,2019,D
Jared McCann,2019,"C,LW"
Jared McCann,2019,"C,LW"
Jared McCann,2019,"C,LW"
Joel Edmundson,2019,D
Joonas Donskoi,2019,RW
Mark Borowiecki,2019,D
Michal Kempny,2019,D
Nick Suzuki,2019,C
Nick Suzuki,2019,C
Rasmus Sandin,2019,D
Rasmus Sandin,2019,D
Robert Hagg,2019,D
Robert Hagg,2019,D
Roman Polak,2019,D
Roman Polak,2019,D
Ryan Graves,2019,D
Ryan Graves,2019,D
Ryan Strome,2019,C
Scott Mayfield,2019,D
Tony DeAngelo,2019,D
Tony DeAngelo,2019,D
Tony DeAngelo,2019,D
Tyler Ennis,2019,"LW,RW"
Victor Olofsson,2019,LW
Victor Olofsson,2019,LW
Zach Sanford,2019,LW
Zdeno Chara,2019,D
Aaron Ekblad,2020,D
Adam Fox,2020,D
Adam Larsson,2020,D
Adam Lowry,2020,C
Adrian Kempe,2020,C
Alec Martinez,2020,D
Aleksander Barkov,2020,C
Alex DeBrincat,2020,LW
Alex Goligoski,2020,D
Alex Goligoski,2020,D
Alex Killorn,2020,"LW,RW"
Alex Killorn,2020,"LW,RW"
Alex Killorn,2020,"LW,RW"
Alex Ovechkin,2020,LW
Alex Pietrangelo,2020,D
Alex Tuch,2020,"LW,RW"
Alex Tuch,2020,"LW,RW"
Alex Tuch,2020,"LW,RW"
Alexander Edler,2020,D
Alexander Radulov,2020,D
Alexander Romanov,2020,D
Alexis Lafreniere,2020,LW
Anders Lee,2020,LW
Andre Burakovsky,2020,LW
Andre Burakovsky,2020,LW
Andrei Svechnikov,2020,RW
Andrew Copp,2020,C
Andrew Copp,2020,C
Andrew Copp,2020,C
Anthony Duclair,2020,C
Anthony Mantha,2020,RW
Anze Kopitar,2020,C
Artemi Panarin,2020,LW
Auston Matthews,2020,C
Ben Chiarot,2020,D
Ben Chiarot,2020,D
Blake Coleman,2020,"LW,RW"
Blake Coleman,2020,"LW,RW"
Blake Coleman,2020,"LW,RW"
Blake Wheeler,2020,RW
Blake Wheeler,2020,RW
Bo Horvat,2020,D
Bobby Ryan,2020,"LW,RW"
Brad Marchand,2020,LW
Brady Tkachuk,2020,"C,LW"
Brandon Tanev,2020,"LW,RW"
Brandon Tanev,2020,"LW,RW"
Brayden McNabb,2020,D
Brayden McNabb,2020,D
Brayden McNabb,2020,D
Brayden Point,2020,C
Brayden Schenn,2020,C
Brendan Gallagher,2020,LW
Brendan Lemieux,2020,LW
Brendan Smith,2020,D
Brenden Dillon,2020,D
Brenden Dillon,2020,D
Brenden Dillon,2020,D
Brent Burns,2020,D
Brock Boeser,2020,RW
Brock McGinn,2020,LW
Brock Nelson,2020,C
Bryan Rust,2020,RW
Cal Clutterbuck,2020,D
Cale Makar,2020,D
Calvin de Haan,2020,D
Calvin de Haan,2020,D
Cam Atkinson,2020,RW
Carter Verhaeghe,2020,"C,LW"
Carter Verhaeghe,2020,"C,LW"
Casey Mittelstadt,2020,C
Chandler Stephenson,2020,C
Charlie McAvoy,2020,D
Charlie McAvoy,2020,D
Chris Kreider,2020,LW
Christian Dvorak,2020,LW
Christian Dvorak,2020,LW
Claude Giroux,2020,C
Clayton Keller,2020,"LW,RW"
Clayton Keller,2020,"LW,RW"
Cody Ceci,2020,D
Colton Parayko,2020,D
Colton Parayko,2020,D
Colton Parayko,2020,D
Connor Brown,2020,RW
Connor McDavid,2020,C
Connor Murphy,2020,D
Connor Murphy,2020,D
Conor Garland,2020,RW
Conor Garland,2020,RW
Craig Smith,2020,RW
Danny DeKeyser,2020,D
Darnell Nurse,2020,D
David Krejci,2020,C
David Krejci,2020,C
David Pastrnak,2020,RW
David Perron,2020,"LW,RW"
David Savard,2020,D
Denis Gurianov,2020,RW
Derek Forbort,2020,D
Devon Toews,2020,D
Devon Toews,2020,D
Dmitry Orlov,2020,D
Dominik Kubalik,2020,LW
Dominik Kubalik,2020,LW
Dominik Kubalik,2020,LW
Dougie Hamilton,2020,D
Drake Batherson,2020,RW
Drake Batherson,2020,RW
Drew Doughty,2020,D
Drew Doughty,2020,D
Dustin Brown,2020,"C,RW"
Dustin Brown,2020,"C,RW"
Dustin Brown,2020,"C,RW"
Dylan Larkin,2020,C
Dylan Larkin,2020,C
Dylan Strome,2020,C
Eeli Tolvanen,2020,"LW,RW"
Elias Lindholm,2020,"C,LW,RW"
Elias Pettersson,2020,C
Erik Cernak,2020,D
Erik Cernak,2020,D
Erik Gudbranson,2020,D
Erik Karlsson,2020,D
Esa Lindell,2020,D
Esa Lindell,2020,D
Evander Kane,2020,LW
Evgeni Malkin,2020,C
Evgenii Dadonov,2020,"LW,RW"
Evgeny Kuznetsov,2020,C
Evgeny Kuznetsov,2020,C
Filip Forsberg,2020,"LW,RW"
Filip Hronek,2020,D
Frank Vatrano,2020,"C,LW"
Gabriel Landeskog,2020,"C,LW"
Garnet Hathaway,2020,RW
Garnet Hathaway,2020,RW
Garnet Hathaway,2020,RW
Ivan Provorov,2020,D
J.T. Miller,2020,"C,RW"
Jaccob Slavin,2020,D
Jack Eichel,2020,C
Jack Hughes,2020,C
Jack Hughes,2020,C
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jacob Trouba,2020,D
Jaden Schwartz,2020,"C,LW"
Jake DeBrusk,2020,LW
Jake Guentzel,2020,LW
Jake Muzzin,2020,D
Jakob Chychrun,2020,D
Jakob Chychrun,2020,D
Jakub Voracek,2020,RW
Jakub Vrana,2020,LW
Jakub Vrana,2020,LW
James van Riemsdyk,2020,LW
Jamie Benn,2020,"C,LW"
Jamie Benn,2020,"C,LW"
Jamie Drysdale,2020,D
Jamie Oleksiak,2020,D
Jani Hakanpaa,2020,D
Jared McCann,2020,"C,LW"
Jared Spurgeon,2020,D
Jared Spurgeon,2020,D
Jason Robertson,2020,"LW,RW"
Jean-Gabriel Pageau,2020,C
Jeff Carter,2020,"C,RW"
Jeff Carter,2020,"C,RW"
Jeff Petry,2020,D
Jeff Skinner,2020,LW
Joe Pavelski,2020,"C,RW"
Joe Thornton,2020,C
Joel Edmundson,2020,D
Joel Edmundson,2020,D
Joel Eriksson Ek,2020,C
Joel Eriksson Ek,2020,C
Joel Eriksson Ek,2020,C
Joel Farabee,2020,LW
Joel Farabee,2020,LW
John Carlson,2020,D
John Klingberg,2020,D
John Klingberg,2020,D
John Tavares,2020,C
Johnny Gaudreau,2020,LW
Jonas Brodin,2020,D
Jonathan Drouin,2020,LW
Jonathan Huberdeau,2020,LW
Jonathan Marchessault,2020,"LW,RW"
Jonathan Marchessault,2020,"LW,RW"
Joonas Donskoi,2020,RW
Jordan Eberle,2020,RW
Jordan Greenway,2020,LW
Jordan Greenway,2020,LW
Jordan Kyrou,2020,"C,RW"
Jordan Staal,2020,C
Josh Anderson,2020,RW
Josh Anderson,2020,RW
Josh Morrissey,2020,D
Josh Morrissey,2020,D
Justin Faulk,2020,D
Justin Holl,2020,D
Justin Schultz,2020,D
Kailer Yamamoto,2020,RW
Kasperi Kapanen,2020,RW
Keith Yandle,2020,D
Kevin Fiala,2020,"LW,RW"
Kevin Hayes,2020,C
Kirill Kaprizov,2020,RW
Kirill Kaprizov,2020,RW
Kris Letang,2020,D
Kyle Connor,2020,LW
Kyle Palmieri,2020,RW
Leon Draisaitl,2020,"C,LW"
Logan Couture,2020,C
Luke Kunin,2020,C
Luke Schenn,2020,D
MacKenzie Weegar,2020,D
MacKenzie Weegar,2020,D
Marcus Foligno,2020,LW
Marcus Foligno,2020,LW
Mark Borowiecki,2020,D
Mark Giordano,2020,D
Mark Scheifele,2020,C
Mark Stone,2020,RW
Martin Necas,2020,"C,RW"
Mathew Barzal,2020,C
Mats Zuccarello,2020,"LW,RW"
Matt Duchene,2020,C
Matt Dumba,2020,D
Matt Grzelcyk,2020,D
Matthew Tkachuk,2020,LW
Mattias Ekholm,2020,D
Max Comtois,2020,C
Max Comtois,2020,C
Max Domi,2020,"C,LW"
Max Domi,2020,"C,LW"
Max Pacioretty,2020,C
Michael Del Zotto,2020,D
Michael Del Zotto,2020,D
Mika Zibanejad,2020,C
Mike Hoffman,2020,"LW,RW"
Mikhail Grigorenko,2020,C
Mikhail Sergachev,2020,D
Mikko Rantanen,2020,"LW,RW"
Miro Heiskanen,2020,D
Miro Heiskanen,2020,D
Mitchell Marner,2020,RW
Morgan Rielly,2020,D
Nathan MacKinnon,2020,C
Nazem Kadri,2020,C
Neal Pionk,2020,D
Nick Foligno,2020,"LW,RW"
Nick Foligno,2020,"LW,RW"
Nick Leddy,2020,D
Nick Leddy,2020,D
Nick Ritchie,2020,LW
Nick Schmaltz,2020,C
Nick Suzuki,2020,C
Nick Suzuki,2020,C
Nicklas Backstrom,2020,C
Nikita Zadorov,2020,D
Nikita Zadorov,2020,D
Nikolaj Ehlers,2020,"LW,RW"
Nino Niederreiter,2020,"LW,RW"
Nino Niederreiter,2020,"LW,RW"
Noel Acciari,2020,C
Oliver Bjorkstrand,2020,RW
Oliver Ekman-Larsson,2020,D
Ondrej Palat,2020,LW
P.K. Subban,2020,D
Patric Hornqvist,2020,RW
Patrice Bergeron,2020,C
Patrick Kane,2020,RW
Patrik Laine,2020,LW
Pavel Buchnevich,2020,RW
Pavel Zacha,2020,C
Phil Kessel,2020,RW
Phillip Danault,2020,C
Pierre-Luc Dubois,2020,C
Pierre-Luc Dubois,2020,C
Quinn Hughes,2020,D
Radko Gudas,2020,D
Radko Gudas,2020,D
Rasmus Andersson,2020,D
Rasmus Dahlin,2020,D
Rasmus Ristolainen,2020,D
Reilly Smith,2020,RW
Rickard Rakell,2020,"LW,RW"
Roman Josi,2020,D
Roope Hintz,2020,C
Roope Hintz,2020,C
Roope Hintz,2020,C
Ryan Ellis,2020,D
Ryan Getzlaf,2020,C
Ryan Graves,2020,D
Ryan Graves,2020,D
Ryan Graves,2020,D
Ryan Graves,2020,D
Ryan Lindgren,2020,D
Ryan McDonagh,2020,D
Ryan McDonagh,2020,D
Ryan McDonagh,2020,D
Ryan Nugent-Hopkins,2020,"C,LW"
Ryan Nugent-Hopkins,2020,"C,LW"
Ryan O'Reilly,2020,C
Ryan Pulock,2020,D
Ryan Reaves,2020,RW
Ryan Reaves,2020,RW
Ryan Reaves,2020,RW
Ryan Strome,2020,C
Ryan Suter,2020,D
Sam Bennett,2020,C
Sam Bennett,2020,C
Samuel Girard,2020,D
Samuel Girard,2020,D
Scott Laughton,2020,C
Scott Mayfield,2020,D
Sean Couturier,2020,C
Sean Monahan,2020,C
Sebastian Aho,2020,C
Seth Jones,2020,D
Shea Theodore,2020,D
Shea Weber,2020,D
Sidney Crosby,2020,C
Steven Stamkos,2020,"C,RW"
T.J. Oshie,2020,RW
Taylor Hall,2020,LW
Teuvo Teravainen,2020,"LW,RW"
Teuvo Teravainen,2020,"LW,RW"
Thomas Chabot,2020,D
Timo Meier,2020,"LW,RW"
Timo Meier,2020,"LW,RW"
TJ Brodie,2020,D
Tom Wilson,2020,RW
Tomas Hertl,2020,"C,LW"
Tomas Hertl,2020,"C,LW"
Tomas Hertl,2020,"C,LW"
Tomas Hertl,2020,"C,LW"
Tomas Tatar,2020,"LW,RW"
Tony DeAngelo,2020,D
Torey Krug,2020,D
Travis Hamonic,2020,D
Travis Konecny,2020,RW
Tyler Bertuzzi,2020,LW
Tyler Motte,2020,C
Tyler Motte,2020,C
Tyler Myers,2020,D
Tyler Myers,2020,D
Tyler Toffoli,2020,"LW,RW"
Tyson Barrie,2020,D
Victor Hedman,2020,D
Victor Olofsson,2020,LW
Viktor Arvidsson,2020,"LW,RW"
Viktor Arvidsson,2020,"LW,RW"
Vincent Trocheck,2020,"C,RW"
Vladimir Tarasenko,2020,RW
Vladimir Tarasenko,2020,RW
Wayne Simmonds,2020,RW
William Carrier,2020,LW
William Karlsson,2020,C
William Karlsson,2020,C
William Nylander,2020,RW
Yanni Gourde,2020,"LW,RW"
Yanni Gourde,2020,"LW,RW"
Zach Hyman,2020,"LW,RW"
Zach Werenski,2020,D
Zdeno Chara,2020,D
Adam Larsson,2021,D
Adrian Kempe,2021,C
Adrian Kempe,2021,C
Aleksander Barkov,2021,C
Alexander Kerfoot,2021,C
Andrew Copp,2021,C
Andrew Copp,2021,C
Artem Zub,2021,D
Artem Zub,2021,D
Ben Chiarot,2021,D
Ben Chiarot,2021,D
Brady Skjei,2021,D
Brandon Tanev,2021,"LW,RW"
Brayden McNabb,2021,D
Brayden McNabb,2021,D
Brayden McNabb,2021,D
Brenden Dillon,2021,D
Brenden Dillon,2021,D
Cal Clutterbuck,2021,D
Calvin de Haan,2021,D
Calvin de Haan,2021,D
Chandler Stephenson,2021,C
Chandler Stephenson,2021,C
Chris Tanev,2021,D
Chris Tanev,2021,D
Connor Murphy,2021,D
Connor Murphy,2021,D
Connor Murphy,2021,D
Dmitry Orlov,2021,D
Dmitry Orlov,2021,D
Erik Gudbranson,2021,D
Erik Johnson,2021,D
Erik Johnson,2021,D
Evan Rodrigues,2021,"C,LW,RW"
Evan Rodrigues,2021,"C,LW,RW"
Garnet Hathaway,2021,RW
Garnet Hathaway,2021,RW
Gustav Forsling,2021,D
Gustav Forsling,2021,D
Hampus Lindholm,2021,D
Ivan Barbashev,2021,C
J.T. Compher,2021,C
Jamie Oleksiak,2021,D
Jani Hakanpaa,2021,D
Joel Edmundson,2021,D
Jon Merrill,2021,D
Jonas Brodin,2021,D
Jonas Brodin,2021,D
Jordan Greenway,2021,LW
Josh Manson,2021,D
Josh Manson,2021,D
Lawson Crouse,2021,LW
Liam O'Brien,2021,C
Luke Kunin,2021,C
Luke Schenn,2021,D
Marco Scandella,2021,D
Marcus Foligno,2021,LW
Mario Ferraro,2021,D
Mark Borowiecki,2021,D
Martin Fehervary,2021,D
Mason Marchment,2021,"LW,RW"
Mason Marchment,2021,"LW,RW"
Mathieu Perreault,2021,C
Matt Boldy,2021,"LW,RW"
Matt Roy,2021,D
Michael Bunting,2021,LW
Michael Bunting,2021,LW
Mike Matheson,2021,D
Milan Lucic,2021,LW
Nicolas Deslauriers,2021,LW
Nikita Zadorov,2021,D
Noah Hanifin,2021,D
Oliver Kylington,2021,D
Owen Power,2021,D
Pat Maroon,2021,LW
Pat Maroon,2021,LW
Patrik Nemeth,2021,D
Rasmus Andersson,2021,D
Rasmus Andersson,2021,D
Rasmus Andersson,2021,D
Rasmus Andersson,2021,D
Rasmus Andersson,2021,D
Rasmus Andersson,2021,D
Rasmus Asplund,2021,C
Rasmus Sandin,2021,D
Robert Thomas,2021,C
Robert Thomas,2021,C
Ryan Graves,2021,D
Ryan Hartman,2021,"C,RW"
Ryan Hartman,2021,"C,RW"
Ryan Hartman,2021,"C,RW"
Ryan Pulock,2021,D
Ryan Pulock,2021,D
Ryan Pulock,2021,D
Sonny Milano,2021,LW
Tage Thompson,2021,C
Tage Thompson,2021,C
Tanner Jeannot,2021,LW
Trevor Moore,2021,"LW,RW"
Troy Terry,2021,"C,RW"
Tyler Myers,2021,D
Valeri Nichushkin,2021,"LW,RW"
Valeri Nichushkin,2021,"LW,RW"
Valeri Nichushkin,2021,"LW,RW"
Vladislav Gavrikov,2021,D
Vladislav Gavrikov,2021,D
Vladislav Gavrikov,2021,D
Vladislav Namestnikov,2021,"LW,RW"
Wayne Simmonds,2021,RW
Zach Aston-Reese,2021,C
Zach Whitecloud,2021,D
Zach Whitecloud,2021,D
Aaron Ekblad,2022,D
Aaron Ekblad,2022,D
Adam Fox,2022,D
Adam Larsson,2022,D
Alec Martinez,2022,D
Aleksander Barkov,2022,C
Alex DeBrincat,2022,LW
Alex Ovechkin,2022,LW
Alex Pietrangelo,2022,D
Alex Tuch,2022,"LW,RW"
Alex Tuch,2022,"LW,RW"
Alexander Romanov,2022,D
Alexis Lafreniere,2022,LW
Anders Lee,2022,LW
Anders Lee,2022,LW
Andrei Kuzmenko,2022,"LW,RW"
Andrei Svechnikov,2022,RW
Andrew Mangiapane,2022,"LW,RW"
Anthony Beauvillier,2022,C
Anthony Duclair,2022,C
Arber Xhekaj,2022,D
Arber Xhekaj,2022,D
Arber Xhekaj,2022,D
Artemi Panarin,2022,LW
Artturi Lehkonen,2022,LW
Auston Matthews,2022,C
Barrett Hayton,2022,C
Blake Coleman,2022,"LW,RW"
Blake Wheeler,2022,RW
Bo Horvat,2022,C
Bowen Byram,2022,D
Bowen Byram,2022,D
Bowen Byram,2022,D
Brad Marchand,2022,LW
Brady Tkachuk,2022,"C,LW"
Brandon Hagel,2022,LW
Brandon Montour,2022,D
Brandon Tanev,2022,"LW,RW"
Brayden McNabb,2022,D
Brayden McNabb,2022,D
Brayden Schenn,2022,C
Brenden Dillon,2022,D
Brent Burns,2022,D
Brett Pesce,2022,D
Brock Boeser,2022,RW
Brock Nelson,2022,C
Bryan Rust,2022,RW
Bryan Rust,2022,RW
Bryan Rust,2022,RW
Calle Jarnkrok,2022,C
Carter Verhaeghe,2022,"C,LW"
Carter Verhaeghe,2022,"C,LW"
Chandler Stephenson,2022,C
Charlie McAvoy,2022,D
Claude Giroux,2022,"C,LW"
Claude Giroux,2022,"C,LW"
Claude Giroux,2022,"C,LW"
Clayton Keller,2022,"LW,RW"
Cole Caufield,2022,LW
Cole Perfetti,2022,C
Colton Parayko,2022,D
Connor Clifton,2022,D
Connor Clifton,2022,D
Connor McDavid,2022,C
Darnell Nurse,2022,D
David Krejci,2022,C
David Pastrnak,2022,RW
David Savard,2022,D
Dawson Mercer,2022,C
Denis Malgin,2022,C
Devon Toews,2022,D
Dillon Dube,2022,"LW,RW"
Dmitry Orlov,2022,D
Dominik Kubalik,2022,LW
Dougie Hamilton,2022,D
Drake Batherson,2022,RW
Drew Doughty,2022,D
Dylan Cozens,2022,C
Dylan Larkin,2022,C
Dylan Strome,2022,C
Dylan Strome,2022,C
Eeli Tolvanen,2022,"LW,RW"
Elias Lindholm,2022,"C,LW,RW"
Elias Pettersson,2022,C
Erik Cernak,2022,D
Erik Gustafsson,2022,D
Erik Johnson,2022,D
Evan Bouchard,2022,D
Evan Rodrigues,2022,"C,LW,RW"
Evan Rodrigues,2022,"C,LW,RW"
Evander Kane,2022,LW
Evgeni Malkin,2022,C
Evgeny Kuznetsov,2022,C
Filip Forsberg,2022,C
Filip Hronek,2022,D
Frank Vatrano,2022,"C,LW"
Garnet Hathaway,2022,RW
Gustav Forsling,2022,D
Gustav Forsling,2022,D
Hampus Lindholm,2022,D
Ivan Provorov,2022,D
J.T. Compher,2022,C
J.T. Miller,2022,"C,RW"
Jaccob Slavin,2022,D
Jaccob Slavin,2022,D
Jack Hughes,2022,C
Jack Johnson,2022,D
Jacob Trouba,2022,D
Jake DeBrusk,2022,LW
Jake DeBrusk,2022,LW
Jake Guentzel,2022,LW
Jakob Chychrun,2022,D
Jamie Benn,2022,"C,LW"
Jamie Benn,2022,"C,LW"
Jamie Benn,2022,"C,LW"
Jani Hakanpaa,2022,D
Jani Hakanpaa,2022,D
Jared McCann,2022,"C,LW"
Jared Spurgeon,2022,D
Jason Robertson,2022,LW
Jason Zucker,2022,LW
Jason Zucker,2022,LW
Jason Zucker,2022,LW
Jeff Petry,2022,D
Jeff Petry,2022,D
Jeff Petry,2022,D
Jeff Skinner,2022,LW
Jeff Skinner,2022,LW
Jeremy Lauzon,2022,D
Jesper Bratt,2022,"LW,RW"
Joe Pavelski,2022,"C,RW"
Joel Edmundson,2022,D
Joel Eriksson Ek,2022,C
Joel Eriksson Ek,2022,C
Joel Eriksson Ek,2022,C
John Carlson,2022,D
John Klingberg,2022,D
John Tavares,2022,C
Johnny Gaudreau,2022,LW
Jonathan Huberdeau,2022,LW
Jonathan Marchessault,2022,"LW,RW"
Jordan Kyrou,2022,"C,RW"
Josh Morrissey,2022,D
Josh Norris,2022,D
Justin Faulk,2022,D
Juuso Valimaki,2022,D
K'Andre Miller,2022,D
K'Andre Miller,2022,D
K'Andre Miller,2022,D
K'Andre Miller,2022,D
Kevin Fiala,2022,"LW,RW"
Kirby Dach,2022,C
Kris Letang,2022,D
Kyle Connor,2022,LW
Leon Draisaitl,2022,C
Lucas Raymond,2022,"LW,RW"
Luke Schenn,2022,D
MacKenzie Weegar,2022,D
Marcus Foligno,2022,LW
Mark Borowiecki,2022,D
Mark Scheifele,2022,C
Mark Scheifele,2022,C
Mark Stone,2022,RW
Martin Fehervary,2022,D
Martin Necas,2022,"C,RW"
Martin Necas,2022,"C,RW"
Mason Marchment,2022,"LW,RW"
Mathew Barzal,2022,C
Mats Zuccarello,2022,"LW,RW"
Matt Boldy,2022,"LW,RW"
Matt Duchene,2022,C
Matt Roy,2022,D
Matthew Tkachuk,2022,LW
Mattias Ekholm,2022,D
Max Domi,2022,"C,LW"
Max Domi,2022,"C,LW"
Max Domi,2022,"C,LW"
Max Pacioretty,2022,"C,LW"
Michael Bunting,2022,LW
Mika Zibanejad,2022,C
Mikael Granlund,2022,C
Mike Matheson,2022,D
Mikhail Sergachev,2022,D
Mikko Rantanen,2022,"LW,RW"
Mitchell Marner,2022,RW
Morgan Rielly,2022,D
Moritz Seider,2022,D
Nathan MacKinnon,2022,C
Nazem Kadri,2022,C
Neal Pionk,2022,D
Neal Pionk,2022,D
Nicholas Paul,2022,LW
Nick Jensen,2022,RW
Nick Schmaltz,2022,C
Nick Suzuki,2022,C
Nick Suzuki,2022,C
Nico Hischier,2022,C
Nikita Kucherov,2022,RW
Nikita Zadorov,2022,D
Nikolaj Ehlers,2022,"LW,RW"
Noah Dobson,2022,D
Noah Dobson,2022,D
Noah Dobson,2022,D
Noah Hanifin,2022,D
Noah Hanifin,2022,D
Noah Hanifin,2022,D
Ondrej Palat,2022,LW
Owen Power,2022,D
Owen Tippett,2022,RW
Parker Kelly,2022,LW
Patrice Bergeron,2022,C
Patrick Kane,2022,RW
Patrik Laine,2022,LW
Patrik Laine,2022,LW
Pavel Buchnevich,2022,RW
Pierre-Luc Dubois,2022,C
Pierre-Luc Dubois,2022,C
Quinn Hughes,2022,D
Radko Gudas,2022,D
Radko Gudas,2022,D
Rasmus Andersson,2022,D
Rasmus Dahlin,2022,D
Rasmus Ristolainen,2022,D
Rasmus Sandin,2022,D
Rasmus Sandin,2022,D
Reilly Smith,2022,RW
Rickard Rakell,2022,"LW,RW"
Roman Josi,2022,D
Roope Hintz,2022,C
Ryan Graves,2022,D
Ryan Hartman,2022,"C,RW"
Ryan Hartman,2022,"C,RW"
Ryan McDonagh,2022,D
Ryan Nugent-Hopkins,2022,"C,LW"
Ryan Pulock,2022,D
Ryan Reaves,2022,RW
Sam Bennett,2022,C
Sam Bennett,2022,C
Sam Bennett,2022,C
Sam Reinhart,2022,"C,RW"
Sam Reinhart,2022,"C,RW"
Sammy Blais,2022,LW
Samuel Girard,2022,D
Sean Durzi,2022,D
Sebastian Aho,2022,C
Seth Jones,2022,D
Seth Jones,2022,D
Shea Theodore,2022,D
Sidney Crosby,2022,C
Steven Stamkos,2022,"C,RW"
T.J. Oshie,2022,RW
T.J. Oshie,2022,RW
Tage Thompson,2022,C
Tanner Jeannot,2022,LW
Teuvo Teravainen,2022,"LW,RW"
Teuvo Teravainen,2022,"LW,RW"
Teuvo Teravainen,2022,"LW,RW"
Thomas Chabot,2022,D
Tim Stutzle,2022,LW
Tom Wilson,2022,RW
Tom Wilson,2022,RW
Tony DeAngelo,2022,D
Tony DeAngelo,2022,D
Travis Konecny,2022,RW
Trevor Zegras,2022,C
Tyler Bertuzzi,2022,LW
Tyler Seguin,2022,"C,RW"
Tyler Seguin,2022,"C,RW"
Tyler Seguin,2022,"C,RW"
Tyler Toffoli,2022,"LW,RW"
Tyler Toffoli,2022,"LW,RW"
Tyson Barrie,2022,D
Tyson Barrie,2022,D
Valeri Nichushkin,2022,"LW,RW"
Victor Hedman,2022,D
Viktor Arvidsson,2022,"LW,RW"
Vince Dunn,2022,D
Vincent Trocheck,2022,"C,RW"
Vladimir Tarasenko,2022,RW
William Nylander,2022,RW
Zach Hyman,2022,"LW,RW"
Zach Hyman,2022,"LW,RW"
